source_row_number,decision_id,exclusion_reason,excluded_on,listing_id,internal_id,category,listing_type,detail_url,property_type,offering_type,completion_status,title,price_egp,price_period,price_currency,location_full,city,town,district,subdistrict,lat,lon,bedrooms,bathrooms,area_value,area_unit,furnished,listing_level,is_premium,is_verified,is_featured,is_new_construction,is_direct_from_dev,is_exclusive,listed_date,images_count,has_view_360,video_url,reference,rera,description,amenities,payment_method,agent_id,agent_name,agent_email,agent_is_super,agent_languages,broker_id,broker_name,broker_email,broker_phone,contact_phone,contact_whatsapp,contact_email,scraped_at,duplicate_component_id,canonical_listing_id,canonical_selection_rule
7,D005,"Non-property project_recommendation placeholder with no listing ID, URL, property type, price, area, or location",2026-06-13,,,buy,project_recommendation,,,,,,,,EGP,,,,,,,,,,,sqm,,,False,False,False,False,False,False,,0,False,,,,,,,,,,False,,,,,,,,,2026-03-04T14:20:33.281007,,,
9,D007,Exact normalized title and description duplicate; non-canonical repost removed,2026-06-13,MSKBV5SGQKC27G4GAFJFTXEVP8,8661745.0,buy,property,https://www.propertyfinder.eg/en/plp/buy/penthouse-for-sale-north-coast-sidi-abdel-rahman-amwaj-8661745.html,Penthouse,Residential for Sale,completed,Fully furnished Penthouse for sale direct on lake,7200000.0,sell,EGP,"Amwaj, Sidi Abdel Rahman, North Coast",North Coast,Sidi Abdel Rahman,Amwaj,,30.996368408203125,28.6804428100586,2,1,85.0,sqm,YES,premium,True,False,False,False,False,False,2026-02-05T17:32:08Z,10,False,,MSKBV5SGQKC27G4GAFJFTXEVP8,,"Amwaj North Coast Penthouse with Roof for sale Very prime location - direct on lake BUA: 85m Roof: 85m Reception and Dining Fully equipped Kitchen 2 bedrooms 1 bathroom Fully finished Fully furnished Fully A/Cs Price: 7,200,000 -----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------",Balcony | Built in Wardrobes | Central A/C | Covered Parking | Kitchen Appliances | Shared Spa | View of Water | Security | Study | Shared Pool | Shared Gym | Walk-in Closet | View of Landmark | Lobby in Building | Children's Pool,cash,21629.0,Mona Ashraf,mona.imageinv@gmail.com,False,English | Arabic,1480.0,Image Investments,lotfyahmed050@gmail.com,201099227303.0,201222150872.0,20221257340.0,mona.imageinv@gmail.com,2026-03-04T14:20:33.281007,EX-0001-01,NZRHY6BQNAG3DY1K50Z8DS670R,Latest listed_date; then completeness; images_count; scraped_at; stable source order
52,D007,Exact normalized title and description duplicate; non-canonical repost removed,2026-06-13,94B8TD9H2TH5HSRHP6EK59AWW4,56245533.0,buy,property,https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-palm-hills-new-cairo-2PtUA0MRHyi.html,Villa,Residential for Sale,completed,Ready to move Villa resale in Palm Hills New Cairo,17000000.0,sell,EGP,"Palm Hills New Cairo, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Cairo,New Cairo City,The 5th Settlement,5th Settlement Compounds,30.01227188110352,31.57951545715332,3,4,254.0,sqm,,premium,True,False,False,False,False,False,2026-03-04T10:23:10Z,9,False,,prim94B8TD9H2TH5HSRHP6EK59AWW4,,"Standalone Villa for Sale in Palm Hills New Cairo Ready to Move Palm Hills New Cairo, next to Mountain View iCity, Fifth Settlement, and minutes from AUC Built-Up Area: 254 Sqm Land Area: 300 Sqm 3 Bedrooms + 4 Bathrooms 2 Living Rooms Cash Required: 17,000,000 EGP For more details, please contact me via WhatsApp: 01096963555 ---------------------------------------------------------- Green Homes brokers Company was established in 2016 located in new cairo for the purpose of real estate investment and marketing. The company is considered one of the most distinguished companies in the field of real estate investment . The company works with a lot of Egypt’s top real estate developers such as SODIC, Palm Hills, Mivida, Emaar, Sabbour, Mountain View, projects etc. . . 03",Security,cash,22879.0,Green Homes Rea,greenhomes.eg@gmail.com,False,,321.0,Green Homes Real estate Agency,greenhomes.eg@gmail.com,201096963555.0,201096963555.0,20221257340.0,greenhomes.eg@gmail.com,2026-03-04T14:20:49.110733,EX-0003-01,TN7KJKQ7SQZJAC1S3X5803JRFR,Latest listed_date; then completeness; images_count; scraped_at; stable source order
94,D007,Exact normalized title and description duplicate; non-canonical repost removed,2026-06-13,3YVF7ZJQZPAQXH31FDCPNYDCZM,56245156.0,buy,property,https://www.propertyfinder.eg/en/plp/buy/twin-house-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-palm-hills-new-cairo-2PtTKRcnCmu.html,Twin House,Residential for Sale,completed,TwinHouse Ready to Move for sale in Palm Hills,21000000.0,sell,EGP,"Palm Hills New Cairo, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Cairo,New Cairo City,The 5th Settlement,5th Settlement Compounds,30.01227188110352,31.57951545715332,3,5,300.0,sqm,,premium,True,False,False,False,False,False,2026-03-04T10:11:27Z,10,False,,3YVF7ZJQZPAQXH31FDCPNYDCZM,,"Twin House for Sale in Palm Hills New Cairo Ready to Move Palm Hills New Cairo, next to Mountain View iCity, Fifth Settlement, and minutes from AUC Built-Up Area: 300 m Land Area: 310 m Consists of: 3 Bedrooms + 5 Bathrooms + 2 Living Rooms Nanny’s Room + Driver’s Room Price: Total Price: 21,000,000 EGP For more details, please contact me via WhatsApp: 01096963555 ---------------------------------------------------------- Green Homes brokers Company was established in 2016 located in new cairo for the purpose of real estate investment and marketing. The company is considered one of the most distinguished companies in the field of real estate investment . The company works with a lot of Egypt’s top real estate developers such as SODIC, Palm Hills, Mivida, Emaar, Sabbour, Mountain View, projects etc. . . 03",Security,cash,22879.0,Green Homes Rea,greenhomes.eg@gmail.com,False,,321.0,Green Homes Real estate Agency,greenhomes.eg@gmail.com,201096963555.0,201096963555.0,20221257340.0,greenhomes.eg@gmail.com,2026-03-04T14:21:10.158463,EX-0004-01,6WE9W1TBJADKWRHTTNR4474WKC,Latest listed_date; then completeness; images_count; scraped_at; stable source order
16736,D007,Exact normalized title and description duplicate; non-canonical repost removed,2026-06-13,BJF7VY74S1PPD7ZE65KCT4MB0R,55503814.0,buy,property,https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-palm-hills-new-cairo-2Poagx3TgOW.html,Villa,Residential for Sale,completed,Ready to move Villa resale 676m in Palm Hills,30500000.0,sell,EGP,"Palm Hills New Cairo, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Cairo,New Cairo City,The 5th Settlement,5th Settlement Compounds,30.01227188110352,31.57951545715332,4,5,440.0,sqm,,standard,False,False,False,False,False,False,2026-03-01T11:36:28Z,8,False,,BJF7VY74S1PPD7ZE65KCT4MB0R,,"Standalone Villa for Sale in Palm Hills New Cairo Ready to Move Palm Hills New Cairo, next to Mountain View iCity, Fifth Settlement, and minutes from AUC Prime Location Built-Up Area: 440 m² Land Area: 676 m² Roof: 125 m² Consists of: 4 Bedrooms + 5 Bathrooms + 2 Living Rooms Nanny’s Room + Driver’s Room Price: Cash required: 30,500,000 EGP For more details, please contact me via WhatsApp: 01096963555 ---------------------------------------------------------- Green Homes brokers Company was established in 2016 located in new cairo for the purpose of real estate investment and marketing. The company is considered one of the most distinguished companies in the field of real estate investment . The company works with a lot of Egypt’s top real estate developers such as SODIC, Palm Hills, Mivida, Emaar, Sabbour, Mountain View, projects etc. . . 03",Security,cash,22879.0,Green Homes Rea,greenhomes.eg@gmail.com,False,,321.0,Green Homes Real estate Agency,greenhomes.eg@gmail.com,201096963555.0,201096963555.0,20221257340.0,greenhomes.eg@gmail.com,2026-03-04T16:04:29.062077,EX-0005-01,KPQRJ8JB659GV3QKY9QZ4E3NPG,Latest listed_date; then completeness; images_count; scraped_at; stable source order
98,D007,Exact normalized title and description duplicate; non-canonical repost removed,2026-06-13,K09ACJS6YZCAR1FDQAY289FYMW,56242358.0,buy,property,https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-palm-hills-new-cairo-2PtREe5BJmS.html,Villa,Residential for Sale,completed,Ready to move Villa resale 676m in Palm Hills,30500000.0,sell,EGP,"Palm Hills New Cairo, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Cairo,New Cairo City,The 5th Settlement,5th Settlement Compounds,30.01227188110352,31.57951545715332,4,5,440.0,sqm,,premium,True,False,False,False,False,False,2026-03-04T09:42:09Z,12,False,,K09ACJS6YZCAR1FDQAY289FYMW,,"Standalone Villa for Sale in Palm Hills New Cairo Ready to Move Palm Hills New Cairo, next to Mountain View iCity, Fifth Settlement, and minutes from AUC Prime Location Built-Up Area: 440 m² Land Area: 676 m² Roof: 125 m² Consists of: 4 Bedrooms + 5 Bathrooms + 2 Living Rooms Nanny’s Room + Driver’s Room Price: Cash required: 30,500,000 EGP For more details, please contact me via WhatsApp: 01096963555 ---------------------------------------------------------- Green Homes brokers Company was established in 2016 located in new cairo for the purpose of real estate investment and marketing. The company is considered one of the most distinguished companies in the field of real estate investment . The company works with a lot of Egypt’s top real estate developers such as SODIC, Palm Hills, Mivida, Emaar, Sabbour, Mountain View, projects etc. . . 03",Security,cash,22879.0,Green Homes Rea,greenhomes.eg@gmail.com,False,,321.0,Green Homes Real estate Agency,greenhomes.eg@gmail.com,201096963555.0,201096963555.0,20221257340.0,greenhomes.eg@gmail.com,2026-03-04T14:21:10.159473,EX-0005-01,KPQRJ8JB659GV3QKY9QZ4E3NPG,Latest listed_date; then completeness; images_count; scraped_at; stable source order
19281,D007,Exact normalized title and description duplicate; non-canonical repost removed,2026-06-13,HTM7XDXTGCZDQ1075QC3EVDSVW,55161351.0,buy,property,https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-cairo-new-cairo-city-al-rehab-el-rehab-extension-2PlxaEptUYK.html,Villa,Residential for Sale,completed,own now your villa with prime view finished resale,37000000.0,sell,EGP,"El Rehab Extension, Al Rehab, New Cairo City, Cairo",Cairo,New Cairo City,Al Rehab,El Rehab Extension,30.06147003173828,31.511394500732425,4,4,439.0,sqm,YES,standard,False,False,False,False,False,False,2026-02-27T21:20:13Z,13,False,,s-malek27f4y,,"villa for sale in al rehab-new cairo BUA: 439 sqm fully finished super lux kitchen-ac's consist of :4 bedrooms(2 masters room)- 4 bathrooms-nanny room-storage room price : 37,000,000 EGP delivery date: now ==== Al Rehab is a residential neighborhood located in New Cairo City, east of Cairo Governorate, Egypt. It is considered the first integrated residential city established by the private sector in Egypt. Al Rehab is located on the Suez Desert Road, 15 minutes from Nasr City and Heliopolis. The city is home to the 200-acre Al Rehab Sports and Social Club. Each phase has its own bus line, as well as an external bus line to Saray El-Qobba and another to Nasr City. The city also features wedding and event halls, a police station, a fire station, and a gas station next to the main gate 13. ==== Apartments for sale in Al Rehab 3 bedroom Properties for sale in Al Rehab Villas for sale in Al Rehab 2 bedroom Properties for sale in Al Rehab Furnished Properties for sale in Al Rehab 4 bedroom Properties for sale in Al Rehab 5 bedroom Properties for sale in Al Rehab 6 bedroom Properties for sale in Al Rehab Townhouses for sale in Al Rehab 7 bedroom Properties for sale in Al Rehab 1 bedroom Properties for sale in Al Rehab Twin Houses for sale in Al Rehab Duplexes for sale in Al Rehab Studio Properties for sale in Al Rehab",Balcony | Central A/C | Kitchen Appliances | Maids Room | Private Garden | Shared Pool | Study | View of Water | Security,cash,42244.0,Mohamed Rabea,mohamed.rabea@irtkaz.com,False,,1397.0,IRTKAZ,w.shehata@irtkaz.com,201005080951.0,201206559000.0,20221257340.0,mohamed.rabea@irtkaz.com,2026-03-04T16:19:47.474769,EX-0007-01,67GX0NPDHSH9AZDEYVE4QJNPB4,Latest listed_date; then completeness; images_count; scraped_at; stable source order
19277,D007,Exact normalized title and description duplicate; non-canonical repost removed,2026-06-13,6AKZGRAH734QDMZ2D0EF72ABNM,55092435.0,buy,property,https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-cairo-new-cairo-city-hyde-park-2PlwyQgjNB2.html,Villa,Residential for Sale,completed,own your villa now very prime view best price,32500000.0,sell,EGP,"Hyde Park, New Cairo City, Cairo",Cairo,New Cairo City,Hyde Park,,29.995922088623047,31.55412673950196,5,5,455.0,sqm,,standard,False,False,False,False,False,False,2026-02-27T21:22:06Z,11,False,,s-shika27f-1y,,"Villa For Sale Semi Finished Corner Hyde Park 5th Settlement New Cairo BUA : 378m Land area : 455m Sale Price : 32,500,000 EGP 5 Bedrooms 5 Bathrooms RAEDY TO MOVE ------------------------------------------------- Hyde Park New Cairo Location The location of the compound was strategically chosen to be in the most thriving spot in New Cairo. With immediate access to the Ring Road and Road 90, Hyde Park New Cairo location is only a few kilometers from the AUC campus and less than half an hour away from Cairo International Airport. It is also worth noting that the compound is in close proximity to the new administrative capital. Hyde Park New Cairo compound is the ultimate place to be, as it extends over 6 million square meters with a notable collection of properties and amenities. The compound is one of the biggest mixed-use projects in the city. Hydepark Egypt is much more than a residential compound, it's a whole community that celebrates your achievements and raises your living standards. The whole concept of the Hyde Park compound is that it's the place for new beginnings and happiness. =========================================== Apartments for sale in New Cairo Apartments for sale in the Fifth Settlement Apartments for sale in Hyde Park Compound Apartment for sale in New Cairo, immediate delivery Apartment for sale in Fifth Settlement, immediate delivery Villa for sale in Fifth Settlement, in installments Villa for sale in New Cairo, in installments Villa for sale, immediate receipt, in installments",Balcony | Maids Room | Private Garden | Study | View of Water | Security | Shared Pool,cash,42244.0,Mohamed Rabea,mohamed.rabea@irtkaz.com,False,,1397.0,IRTKAZ,w.shehata@irtkaz.com,201005080951.0,201206559000.0,20221257340.0,mohamed.rabea@irtkaz.com,2026-03-04T16:19:37.718991,EX-0008-01,97FAPJRZTQW43B9QT491T541ZC,Latest listed_date; then completeness; images_count; scraped_at; stable source order
1833,D007,Exact normalized title and description duplicate; non-canonical repost removed,2026-06-13,0WT2TPPG8RJAH2SQCTX1SKTYGM,53727402.0,buy,property,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-giza-sheikh-zayed-city-sheikh-zayed-compounds-village-west-2Pd13uMOYAi.html,Apartment,Residential for Sale,off_plan_primary,Prime deal apt Finished Zed view Nozha 950K DP,950000.0,sell,EGP,"Village West, Sheikh Zayed Compounds, Sheikh Zayed City, Giza",Giza,Sheikh Zayed City,Sheikh Zayed Compounds,Village West,30.048093795776367,31.02005386352539,3,3,20.0,sqm,NO,premium,True,False,False,False,False,False,2026-02-22T12:14:15Z,13,False,,Namya-apt-180m-db-900K-village west,,"A fully-equipped residence in the heart of Sheikh Zayed, right next to Zed Club. In a location that combines vibrancy and easy access with tranquility and privacy within a prestigious residential community, this apartment offers a balanced living experience in one of Sheikh Zayed's most sought-after and distinguished areas. Here, you'll live close to key landmarks and services while maintaining a peaceful lifestyle within a fully integrated compound. Located within the Namia Compound on Nozha Street, behind Karma Kai and directly opposite Zed Club, this unit offers exceptional value for both residential and investment purposes. Apartment Details: Area: 190 square meters 3 bedrooms 3 bathrooms Fully finished and ready to move in Ready for immediate occupancy The interior spaces are designed with a practical layout that maximizes every square meter, offering privacy in the bedrooms and comfortable openness in the living and reception areas, ideal for families seeking comfort and stability. Services and facilities within the compound: Swimming pools 24/7 security and surveillance Children's play area Indoor and outdoor gyms Designated family gathering areas Paddle court A residential community that provides all your daily needs within its walls, with a safe and integrated environment that enhances the quality of life for you and your family. Price details and payment plan: Down payment of only 950,000 and the rest in installments over 8 years. Delivery in 3 years. For reservations or to learn about installment details and payment schedule: 01040007437",Balcony | Built in Wardrobes | Covered Parking | Kitchen Appliances | Maids Room | Shared Pool | Study | View of Water | Security | Shared Spa | Shared Gym | Walk-in Closet | Children's Pool,cash,57047.0,Eslam Sayed,eslamosa62@gmail.com,False,,6005.0,Property Hills Realty,kareemzaki90@gmail.com,1002382462.0,201040007437.0,201040007437.0,eslamosa62@gmail.com,2026-03-04T14:33:10.463137,EX-0009-01,QNN1AK0A4FZ71ZAXB7198EQPKM,Latest listed_date; then completeness; images_count; scraped_at; stable source order
18501,D007,Exact normalized title and description duplicate; non-canonical repost removed,2026-06-13,N67ER4J571CTB6P48K8844WX4G,55253656.0,buy,property,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-giza-sheikh-zayed-city-sheikh-zayed-compounds-village-west-2PmzNy7MQfg.html,Apartment,Residential for Sale,off_plan_primary,Prime deal apt Finished Zed view Nozha 950K DP,950000.0,sell,EGP,"Village West, Sheikh Zayed Compounds, Sheikh Zayed City, Giza",Giza,Sheikh Zayed City,Sheikh Zayed Compounds,Village West,30.048093795776367,31.02005386352539,3,3,20.0,sqm,NO,standard,False,False,False,False,False,False,2026-02-28T12:26:52Z,12,False,,Namya-apt-180m-db-900K-,,"A fully-equipped residence in the heart of Sheikh Zayed, right next to Zed Club. In a location that combines vibrancy and easy access with tranquility and privacy within a prestigious residential community, this apartment offers a balanced living experience in one of Sheikh Zayed's most sought-after and distinguished areas. Here, you'll live close to key landmarks and services while maintaining a peaceful lifestyle within a fully integrated compound. Located within the Namia Compound on Nozha Street, behind Karma Kai and directly opposite Zed Club, this unit offers exceptional value for both residential and investment purposes. Apartment Details: Area: 190 square meters 3 bedrooms 3 bathrooms Fully finished and ready to move in Ready for immediate occupancy The interior spaces are designed with a practical layout that maximizes every square meter, offering privacy in the bedrooms and comfortable openness in the living and reception areas, ideal for families seeking comfort and stability. Services and facilities within the compound: Swimming pools 24/7 security and surveillance Children's play area Indoor and outdoor gyms Designated family gathering areas Paddle court A residential community that provides all your daily needs within its walls, with a safe and integrated environment that enhances the quality of life for you and your family. Price details and payment plan: Down payment of only 950,000 and the rest in installments over 8 years. Delivery in 3 years. For reservations or to learn about installment details and payment schedule: 01040007437",Balcony | Built in Wardrobes | Covered Parking | Kitchen Appliances | Shared Pool | Study | Security | View of Water | Shared Spa | Shared Gym | Children's Pool,cash,57047.0,Eslam Sayed,eslamosa62@gmail.com,False,,6005.0,Property Hills Realty,kareemzaki90@gmail.com,1002382462.0,201040007437.0,201040007437.0,eslamosa62@gmail.com,2026-03-04T16:14:57.702734,EX-0009-01,QNN1AK0A4FZ71ZAXB7198EQPKM,Latest listed_date; then completeness; images_count; scraped_at; stable source order
18767,D007,Exact normalized title and description duplicate; non-canonical repost removed,2026-06-13,R3YMPGB51E0NJ5AECX546MMMN0,55250623.0,buy,property,https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-giza-6-october-city-6-october-compounds-tawny-hyde-park-2PmtU55aUKW.html,Villa,Residential for Sale,off_plan_primary,Twin 220m greenary view - 5%DP 10 years Equal INST,27000000.0,sell,EGP,"Tawny Hyde Park, 6 October Compounds, 6 October City, Giza",Giza,6 October City,6 October Compounds,Tawny Hyde Park,29.957908630371094,30.91575813293457,3,3,220.0,sqm,,standard,False,False,False,False,False,False,2026-02-28T11:04:16Z,13,False,,kh 21399,,"Hyde Park is launching its new project in 6th of October City, Hyde Park Signature, with a 5% down payment and installments over 10 equal years. Twinhouse 220 sq m divided into: - 3 bedrooms, including a master bedroom - 3 bathrooms - 3-piece reception area - Living room - Nanny's room with bathroom - Kitchen - Terrace - Garden Price: 27,000,000 EGP with installments over 10 years Project area: 59 acres Construction area: 15% Area allocated to villas: 60% Area allocated to apartments: 40% Amenities: - 20-acre mall outside the project area - 13-acre park - 7-acre clubhouse - Swimming pools - Gym - Yoga area - Pet area - Electronic gates - Security team - High-quality surveillance cameras Location: - In the Eastern Expansion area - Next to Tawny Project - Next to Garden Lakes Project - Near Al-Jazira Club - Near Palm Hills projects - 3 minutes from the 26th of July Corridor - 5 minutes from Al-Wahat Road and Mall of Egypt For more details and information, contact us on 01006667804",Balcony | Built in Wardrobes | Covered Parking | Maids Room | Private Garden | Shared Pool | Study | View of Water | Security | Shared Spa | Shared Gym | Walk-in Closet | View of Landmark | Lobby in Building | Children's Pool,installments,28532.0,Kholoud Mohammed,kholoudmohammed338@gmail.com,False,,2931.0,Promax Property Investors,promaxeg@gmail.com,201006667804.0,201006667804.0,201006667804.0,kholoudmohammed338@gmail.com,2026-03-04T16:16:39.723196,EX-0010-01,5Q8GKKB4H6NAJAYK4K6TMYV0ZG,Latest listed_date; then completeness; images_count; scraped_at; stable source order
