market_region,town,listings,median_price,mean_price,median_price_per_sqm,median_area,property_types
Cairo,New Cairo City,6030,11505300.0,19264805.373300165,64500.0,190.0,6
Giza,Sheikh Zayed City,2833,8000000.0,13196422.887398517,56022.40896358543,180.0,5
Giza,6 October City,2466,9613860.5,14943623.727088403,56818.181818181816,201.0,5
Red Sea,Hurghada,1362,6591020.0,10211257.352422908,74056.40449438202,91.0,6
Cairo,Mostakbal City - Future City,670,6000000.0,7180448.243283582,36391.82769205244,162.0,6
Cairo,New Capital City,592,6616534.0,11624831.743243244,43215.67545925577,176.5,5
Suez,Al Ain Al Sokhna,442,7347500.0,8335037.57918552,65188.88888888889,120.0,6
North Coast,Ras Al Hekma,438,10481500.0,14770438.244292237,90535.29106858054,125.0,6
North Coast,Sidi Abdel Rahman,370,18000000.0,30440483.456756756,118846.36563876653,170.0,6
Cairo,Shorouk City,359,8000000.0,10312535.462395543,45267.489711934155,195.0,5
Cairo,Madinaty,340,7145882.0,17763170.679411765,57196.759259259255,135.0,4
North Coast,Al Alamein,281,6936714.0,10014547.629893238,60200.0,125.0,5
North Coast,Qesm Marsa Matrouh,219,15000000.0,22609404.305936072,107142.85714285714,140.0,6
North Coast,Qesm Ad Dabaah,169,17000000.0,25957911.420118343,108050.0,156.0,6
Cairo,New Heliopolis,165,13140000.0,13362358.945454545,61224.489795918365,196.0,5
Alexandria,Hay Sharq,162,6800000.0,7799181.271604938,37083.33333333333,175.0,3
Cairo,Mokattam,157,20500000.0,31334960.987261146,100694.44444444444,218.0,5
Cairo,Hay El Maadi,154,6000000.0,8935489.993506493,33333.333333333336,177.5,3
Alexandria,Alexandria Compounds,102,11300000.0,13426214.862745099,60000.0,183.5,4
Cairo,El Nozha,97,5538000.0,5649372.443298969,37777.77777777778,154.0,3
Cairo,Nasr City,84,3910000.0,4546410.702380952,26015.176374077113,160.0,2
Cairo,Heliopolis - Masr El Gedida,59,6850000.0,9480525.423728814,36363.63636363636,180.0,3
Giza,Hadayek El Ahram,53,2280000.0,3367498.283018868,16200.0,140.0,3
Cairo,Noor City,50,12000000.0,13088155.7,56740.442655935614,195.0,3
Giza,Mohandessin,48,7000000.0,8880937.5,35147.05882352941,200.0,2
Giza,Dokki,37,9500000.0,14743243.243243244,41284.40366972477,202.0,1
Cairo,Zamalek,34,14500000.0,20389167.5,68627.45098039217,222.5,2
South Sinai,Ras Sedr,32,4915000.0,4882528.4375,55110.33834586466,78.0,4
Cairo,Badr City,24,1450000.0,1568833.375,12041.666666666668,120.0,1
Alexandria,Hay Wasat,21,6000000.0,7667857.142857143,36666.666666666664,190.0,1
Giza,Hay El Haram,20,1525000.0,1700000.0,13009.803921568628,150.0,1
North Coast,Sidi Heneish,18,12780000.0,21594222.222222224,116450.21645021645,142.5,3
Qalyubia,Obour City,18,4527500.0,7041120.444444444,24554.20466058764,195.0,4
Cairo,Ring Road,17,9500000.0,10627705.88235294,63333.333333333336,158.0,3
Alexandria,Hay Awal El Montazah,17,3550000.0,4344117.647058823,21250.0,155.0,1
Giza,Al Agouza,12,5600000.0,9260000.0,29537.82794386821,147.0,1
Cairo,El Khalifa,10,29500000.0,37295000.0,107309.74632843792,259.5,3
Giza,Ganoub El Giza,10,7500000.0,14254000.0,38461.53846153846,195.0,1
Qalyubia,New Obour City,10,3153584.0,2956600.6,19860.28323699422,140.5,1
Giza,Cairo Alexandria Desert Road,9,11000000.0,10300000.0,41212.121212121216,300.0,4
Red Sea,Marsa Alam,8,5000000.0,6532500.0,56954.97271073378,97.0,3
North Coast,Markaz Al Hamam,6,3450000.0,4716666.5,34951.92307692308,138.0,3
Alexandria,Hay Than El Montazah,6,3450000.0,3741666.6666666665,26210.227272727272,140.0,1
Cairo,Hay Masr El Kadima,5,9061000.0,8962200.0,60869.565217391304,100.0,1
Alexandria,Borg El Arab City,5,14700000.0,11148000.0,36567.164179104475,402.0,3
Cairo,Cairo - Ismailia Desert Road,5,6400000.0,8020000.0,28750.0,200.0,1
Alexandria,Hay Al Amereyah,4,9600000.0,9250000.0,24376.623376623378,385.0,2
Cairo,Hay El Manial,3,17000000.0,23034333.666666668,99471.8525469169,220.0,1
Matrouh,Marsa Matrouh,3,1936000.0,2460000.0,42326.086956521736,48.0,1
Sharqia,10th of Ramadan City,3,1500000.0,1816666.6666666667,9375.0,160.0,1
Cairo,Garden City,2,140250000.0,140250000.0,124098.41075794621,1204.5,2
North Coast,North Coast Resorts,2,12515337.5,12515337.5,98680.66287878787,106.0,2
Alexandria,Hay Al Agami,1,9100000.0,9100000.0,66423.35766423358,137.0,1
Dakahlia,New Mansoura,1,5400000.0,5400000.0,41221.37404580152,131.0,1
Cairo,Downtown,1,4000000.0,4000000.0,28985.507246376812,138.0,1
Cairo,Hay Helwan,1,7000000.0,7000000.0,26923.076923076922,260.0,1
Damietta,New Damietta,1,5200000.0,5200000.0,26000.0,200.0,1
North Coast,Hacienda,1,5200000.0,5200000.0,25365.853658536584,205.0,1
Alexandria,Hay El Gomrok,1,920000.0,920000.0,20444.444444444445,45.0,1
North Coast,Qesm Borg El Arab,1,1300000.0,1300000.0,13684.21052631579,95.0,1
Cairo,Hay El Zaytoun,1,1550000.0,1550000.0,12916.666666666666,120.0,1
Cairo,Al Salam City,1,1600000.0,1600000.0,10000.0,160.0,1
