original_column_name,recommended_standardized_name,observed_storage_type,business_definition,example_values,missing_percentage,unique_values,expected_analytical_role,potential_quality_problem,contains_sensitive_information,potential_model_leakage,status
listing_id,listing_id,string,Platform listing identifier,F7QB31CGWE509V2W7DF2GARB2C | K1JC3D6N57ED52N3VX1QQKHHXG | Q6GEB8T6PZTJGNNPWA5PX3JCWR,0.003,39712,identifier,One value is missing; verify uniqueness and stability across reposts,No,High,Proposed only — no rename or transformation applied
internal_id,internal_listing_id,float,Internal numeric listing identifier,56009081.0 | 56247925.0 | 56253883.0,0.003,39712,identifier,Stored as numeric-like; should likely be string to avoid precision/format issues,No,High,Proposed only — no rename or transformation applied
category,transaction_category,string,High-level transaction label such as buy or rent,buy | rent,0.0,2,filter/dimension,Meaning overlaps with offering_type and must be reconciled,No,Low,Proposed only — no rename or transformation applied
listing_type,listing_record_type,string,Record class such as property or project recommendation,property | project_recommendation,0.0,2,filter/dimension,May mix true property listings with recommendation records,No,Medium,Proposed only — no rename or transformation applied
detail_url,listing_url,url,Public URL of the listing,https://www.propertyfinder.eg/en/plp/buy/duplex-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-the-lakeview-boutique-villas-2PsRH7FgVjU.html | https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-giza-sheikh-zayed-city-sheikh-zayed-compounds-village-west-2PtYXB31sjw.html | https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-palm-hills-new-cairo-2PtjsM8Jjft.html,0.003,39712,identifier/audit,One missing value; URL may expose duplicates and source patterns,No,High,Proposed only — no rename or transformation applied
property_type,property_type,string,"Property class such as apartment, villa, or townhouse",Duplex | Apartment | Villa,0.003,19,feature/dimension,One missing value; rare and inconsistent categories may exist,No,Low,Proposed only — no rename or transformation applied
offering_type,offering_type,string,Detailed sale or rental offering label,Residential for Sale | Residential for Rent,0.003,2,filter/dimension,One missing value; overlaps with category,No,Low,Proposed only — no rename or transformation applied
completion_status,completion_status,string,Construction or readiness status,completed | off_plan | completed_primary,50.235,4,feature/dimension,About half missing; category meaning requires validation,No,Low,Proposed only — no rename or transformation applied
title,listing_title,string,Listing headline written by advertiser,Garden Villa - Lake View Boutique - Prime Location | For Sale: Finished Apartment+ ACs in Village West | UnderMarket Price for Apt. 250 RTM PrimeLocation,0.003,32700,text/audit,"May include target price, payment amounts, project names, and promotional language",No,High,Proposed only — no rename or transformation applied
price_egp,price_egp,float,Advertised property price in Egyptian pounds,24500000.0 | 5145000.0 | 10800000.0,0.003,4957,target/measure,Mixes sale totals and rental periodic prices until scope is filtered; extreme values require review,No,Target,Proposed only — no rename or transformation applied
price_period,price_period,string,Price frequency such as sale or monthly,sell | monthly,0.003,2,filter/dimension,Must be consistent with transaction category,No,Medium,Proposed only — no rename or transformation applied
price_currency,price_currency,string,Currency code of the advertised price,EGP,0.0,1,filter/dimension,Constant EGP in current file; still useful for validation,No,Low,Proposed only — no rename or transformation applied
location_full,location_full,string,Full hierarchical location text from the source,"The Lakeview Boutique Villas, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo | Village West, Sheikh Zayed Compounds, Sheikh Zayed City, Giza | Palm Hills New Cairo, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",0.003,1959,feature/dimension,"May combine district, compound, project, and free-form labels",No,Medium,Proposed only — no rename or transformation applied
city,market_region,string,"Highest-level market geography supplied by the source; values may represent a city, governorate, coastal market, or broad region",Cairo | Giza | North Coast,0.003,12,feature/dimension,Mixed geographic levels; requires an approved external mapping before being treated as formal administrative geography,No,Low,Approved working name — raw `city` column remains unchanged; no renamed analytical copy created yet
town,town,string,Secondary geographic area,New Cairo City | Sheikh Zayed City | Sidi Abdel Rahman,0.003,67,feature/dimension,Geographic hierarchy and relationship to district need confirmation,No,Low,Proposed only — no rename or transformation applied
district,district,string,District or neighborhood,The 5th Settlement | Sheikh Zayed Compounds | 12th District,0.874,519,feature/dimension,Missing values and spelling variants require review,No,Low,Proposed only — no rename or transformation applied
subdistrict,submarket_or_compound,string,"Lowest supplied market-location label; may represent an individual compound or project, a compound cluster, neighborhood, road, or other submarket",5th Settlement Compounds | Village West | The Address,17.02,1134,feature/dimension,Mixed entity types; requires a later approved classification and entity-resolution step before project- or compound-level aggregation,No,Medium,"Approved working name — raw `subdistrict` column remains unchanged; no classification, rename, or transformation applied yet"
lat,latitude,float,Latitude coordinate,30.04060173034668 | 30.048093795776367 | 30.01227188110352,0.003,1921,feature/geography,Coordinate accuracy and whether it represents listing or area centroid are unknown,No,Low,Proposed only — no rename or transformation applied
lon,longitude,float,Longitude coordinate,31.525941848754883 | 31.02005386352539 | 31.57951545715332,0.003,1941,feature/geography,Coordinate accuracy and whether it represents listing or area centroid are unknown,No,Low,Proposed only — no rename or transformation applied
