Decision ID,Phase,Date or sequence number,Issue,Options presented,Recommended option,My selected option,Reason for the selection,Number of affected records,Implementation performed,Resulting dataset shape,Reversibility,Notes
D001,Phase 2 — Data Dictionary and Schema Mapping,2026-06-13 / 1,Whether to integrate the dataset dictionary with AdPilot schemas before AdPilot source files are available.,A: provisional mapping; B: pause for project files; C: create standalone dictionary and postpone schema mapping.,A,C,The user does not want AdPilot integration at this stage.,0 data records changed,Created a standalone data dictionary and postponed all AdPilot schema mapping.,"39,713 rows × 53 columns (unchanged)",Fully reversible; documentation and scope decision only.,AdPilot integration will resume only when explicitly requested.
D002,Phase 2 — Data Dictionary and Schema Mapping,2026-06-13 / 2,"How to document and name the source `city` field, which mixes cities, governorates, coastal markets, and broad regions.",A: use `market_region`; B: retain `city`; C: use `governorate`.,A,A,`market_region` is neutral and accurately accommodates mixed geographic levels without claiming formal administrative precision.,"39,713 documentation references; 0 data values changed",Updated the proposed standardized name and business definition in the standalone data dictionary. The raw `city` column was not renamed or modified.,"39,713 rows × 53 columns (unchanged)",Fully reversible; documentation-only decision.,A formal city/governorate mapping will require a later approved external mapping.
D003,Phase 2 — Data Dictionary and Schema Mapping,2026-06-13 / 3,"How to document the source `subdistrict` field, which mixes compounds, projects, compound groups, neighborhoods, and roads.",A: use `submarket_or_compound`; B: use `compound_name`; C: retain `subdistrict`.,A,A,The neutral name reflects the mixed entity types without falsely treating every value as a formal compound.,"32,954 non-missing documentation references; 0 data values changed",Updated the proposed name and definition in the standalone data dictionary. The raw field was not renamed or transformed.,"39,713 rows × 53 columns (unchanged)",Fully reversible; documentation-only decision.,"6,759 values are missing. Entity classification will require a later approved mapping process."
D004,Phase 2 → Phase 3 transition,2026-06-13 / 4,Whether to approve the standalone data dictionary and begin non-destructive Phase 3 data-quality analysis.,A: approve and begin Phase 3; B: review dictionary; C: revise selected definitions.,A,A,User approved progressing to non-destructive data-quality analysis.,0 data records changed,Completed a non-destructive Phase 3 diagnostic scan and created issue summaries. No cleaning was applied.,"39,713 rows × 53 columns (unchanged)",Fully reversible; analysis-only action.,Each consequential cleaning action will require a separate decision.
D005,Phase 3 — Data-Quality Analysis,2026-06-13 / 5,How to handle the single non-property project_recommendation placeholder row.,A: exclude from analysis and preserve in audit; B: keep in analytical dataset; C: keep only for listing-type counts.,A,A,The row is not a property listing and has no usable analytical fields.,1 excluded from analytical dataset (0.0025%); preserved in audit,Created a new processed dataset without the row and saved the full excluded row with exclusion metadata in the audit dataset. Raw data untouched.,"39,712 rows × 53 columns",Fully reversible using the raw dataset and audit record.,"Raw dataset remains 39,713 × 53."
D006,Phase 3 — Duplicate Detection,2026-06-13 / 6,"How to handle 3,918 rows in broad probable-duplicate groups.","A: keep all and group later; B: remove 2,321 broad-rule extras; C: run stricter text, agent, contact and reference checks before deciding.",C,C,Broad exact property signatures can represent distinct units; stricter evidence is needed before removal.,"3,918 candidate rows assessed; 0 rows removed",Ran exact-title/description and graded text-similarity analysis within candidate blocks; exported group and row audit tables.,"39,712 rows × 53 columns (unchanged)",Analysis-only and fully reversible.,"Exact-text rule identifies 938 potential extras; strong rule identifies 1,320."
D007,Phase 3 — Duplicate Detection,2026-06-13 / 7,Which duplicate rule to apply after stricter similarity analysis.,"A: remove 938 exact-text extras; B: remove 1,320 strong-similarity extras; C: keep all and assign group IDs.",A,A,Exact normalized title and description matches are the lowest-risk automatic repost rule.,"938 removed from 642 exact-text components (2.362% of 39,712)","Retained one canonical listing per exact-text component using latest listed date, then completeness, image count, scrape time, and stable source order. Removed rows were preserved in duplicate and combined exclusion audits.","38,774 rows × 53 columns",Fully reversible using the prior processed dataset and audit files.,"Raw dataset remains unchanged at 39,713 × 53."
D008,Phase 3,2026-06-13,Repeated references,Keep but do not use as unique identifier,Keep but do not use as unique identifier,A,Avoids destructive changes to broker-entered references,0,Excluded `reference` from identifiers and model features,"18,053 analytical rows",Fully reversible from raw and audit datasets,Autonomously selected after user delegated remaining cautious decisions
D009,Phase 3–8,2026-06-13,Analytical scope,"Sale, EGP, six residential types","Sale, EGP, six residential types",Recommended,Matches the stated business question,20721,Created scoped analytical dataset and audit exclusions,"18,053 analytical rows",Fully reversible from raw and audit datasets,Autonomously selected after user delegated remaining cautious decisions
D010,Phase 6,2026-06-13,Suspicious area values,Recover explicit text area; otherwise exclude <=20 or >2000 sqm,Recover explicit text area; otherwise exclude <=20 or >2000 sqm,Recommended,Balances recovery and conservative validity,1204,"Added area_sqm, area_original, and recovery source","18,053 analytical rows",Fully reversible from raw and audit datasets,Autonomously selected after user delegated remaining cautious decisions
D011,Phase 6,2026-06-13,Price anomalies,Exclude only extreme ppsqm/total and probable payment amounts,Exclude only extreme ppsqm/total and probable payment amounts,Recommended,Preserves legitimate luxury listings,See exclusion summary,Audit-safe anomaly exclusions,"18,053 analytical rows",Fully reversible from raw and audit datasets,Autonomously selected after user delegated remaining cautious decisions
D012,Phase 8,2026-06-13,Feature set,Deployment-time structured fields only,Deployment-time structured fields only,Recommended,Prevents text and target leakage,All model rows,Created numeric/categorical engineered features,"18,053 analytical rows",Fully reversible from raw and audit datasets,Autonomously selected after user delegated remaining cautious decisions
D013,Phase 11,2026-06-13,Market tiering,Hybrid absolute and segment-adjusted ppsqm percentiles,Hybrid absolute and segment-adjusted ppsqm percentiles,Recommended,Avoids location-only luxury labeling,All analytical rows,Created tier_score and market_tier,"18,053 analytical rows",Fully reversible from raw and audit datasets,Autonomously selected after user delegated remaining cautious decisions
D014,Phase 12,2026-06-13,Target,log(total price),log(total price),Recommended,Stable across skewed price distribution and directly deployable,All analytical rows,Trained models on log_price,"18,053 analytical rows",Fully reversible from raw and audit datasets,Autonomously selected after user delegated remaining cautious decisions
D015,Phase 12,2026-06-13,Data split,Grouped compound or town+district split,Grouped compound or town+district split,Recommended,Reduces project leakage,All analytical rows,Created 70/15/15 grouped split,"18,053 analytical rows",Fully reversible from raw and audit datasets,Autonomously selected after user delegated remaining cautious decisions
D016,Phase 12–13,2026-06-13,Final model,CatBoost,CatBoost,Recommended,Validation-only business trade-off: Random Forest minimized MAE/RMSE; CatBoost minimized median absolute error/MAPE and handles high-cardinality categories natively. Test performance was not used.,15314,Exported CatBoost model,"18,053 analytical rows",Fully reversible from raw and audit datasets,Autonomously selected after user delegated remaining cautious decisions; trade-off is shown in the model comparison table.
D017,Phase 15,2026-06-13,Fair price classification,90% empirical validation-residual interval,90% empirical validation-residual interval,Recommended,Avoids arbitrary percentage thresholds,2739,Under/fair/over classifications use interval boundaries,"18,053 analytical rows",Fully reversible from raw and audit datasets,Autonomously selected after user delegated remaining cautious decisions
D018,Phase 15,2026-06-13,Comparable listings,Rule-filtered nearest standardized distance,Rule-filtered nearest standardized distance,Recommended,Transparent and deployable,Dashboard inputs,Implemented in dashboard,"18,053 analytical rows",Fully reversible from raw and audit datasets,Autonomously selected after user delegated remaining cautious decisions
D019,Phase 16,2026-06-13,Dashboard framework,Streamlit,Streamlit,Default,Matches requested default and supports interactive storytelling,,Built and smoke-tested Streamlit app,"18,053 analytical rows",Fully reversible from raw and audit datasets,Autonomously selected after user delegated remaining cautious decisions
